Ángulo,P2,P3 (su placa),P3 (nuestra placa),P4 Ang 196 (rel 0),P4 Ang218.5 (rel 22.5),P4 Ang 241 (rel 45),Punto 4 (parte1)
5,6.37,1.73,2.75,12.1,10.25,6.55,5.26
15,6.05,0.52,1.21,11,10.7,6.62,6.11
25,5.5,0.17,0.3,9.54,10.53,6.58,6.35
35,4.86,0.86,0.81,7.74,9.94,6.51,5.75
45,3.79,2.47,2.51,5.49,8.74,6.38,4.68
55,2.8,3.99,4.57,3.54,7.44,6.29,3.71
65,1.75,5.24,5.83,1.64,5.88,6.18,3.01
75,0.96,5.29,5.82,0.43,4.43,6.05,2.81
85,0.38,4.5,4.33,0.01,2.95,5.96,3.18
95,0.19,3.13,2.45,0.35,2.13,5.89,3.94
105,0.33,1.97,0.84,1.3,1.7,5.9,5.05
115,0.81,1.63,0.29,2.82,1.8,5.96,6.06
125,1.65,2.32,1.02,4.84,2.5,6.03,6.44
135,2.55,3.61,2.74,7.19,3.52,6.07,6
145,3.68,4.87,4.8,9.22,5.03,6.2,4.9
155,4.68,5.39,5.84,10.75,6.44,6.31,3.98
165,5.53,4.97,5.71,12,8.03,6.38,3.68
175,6.16,3.68,4.19,12.4,9.26,6.51,4.13
185,6.43,1.89,2.47,11.9,10.25,6.55,5.19
195,6.28,0.59,0.89,10.9,10.6,6.53,6.09
205,5.75,0.16,0.3,9.35,10.47,6.5,6.3
215,5.03,0.89,1.22,7.47,9.75,6.45,5.72
225,4.12,2.28,3.02,5.33,8.44,6.33,4.6
235,3.01,4.01,4.88,3.13,7.22,6.16,3.63
245,1.89,5.03,5.82,1.53,5.74,6.04,3.08
255,1.06,5.14,5.55,0.49,4.11,5.93,2.94
265,0.46,4.25,4.2,0.013,2.92,5.85,3.34
275,0.2,2.89,2.21,0.27,2.03,5.81,4.13
285,0.38,1.91,0.65,1.21,1.64,5.81,5.17
295,0.88,1.64,0.31,2.8,1.78,5.84,6.11
305,1.72,2.3,1.16,4.82,2.43,5.88,6.46
315,2.79,3.59,3.09,6.86,3.45,6.04,5.99
325,3.86,4.77,4.87,8.86,4.92,6.19,5.04
335,4.87,5.35,5.77,10.51,6.47,6.24,4.23
345,5.66,4.85,5.47,11.7,7.79,6.42,3.84
355,6.23,3.4,4.36,12.3,9.15,6.52,4.25
365,6.37,1.73,1.77,12,10.12,6.54,5.29
